optionId,optionName,optionImageColor,optionImageIcon,optionImage1,optionImage2,optionImage3,optionImage4,optionImage5,optionDimensions,optionWeight,optionMaterials,optionInput,optionOutput,optionPrice
11,Dark Matter,#333333,,/cases/3t-otterbox/dark-matter/back.png,/cases/3t-otterbox/dark-matter/back-front.png,/cases/3t-otterbox/dark-matter/front.png,,,158 x 83 x 12.2mm,98g,PC + Silicone,,,24.95
12,Saharan White,#FFFFFF,,/cases/3t-otterbox/saharan-white/back.png,/cases/3t-otterbox/saharan-white/back-front.png,/cases/3t-otterbox/saharan-white/front.png,,,158 x 83 x 12.2mm,98g,PC + Silicone,,,24.95
13,Bamboo,,/cases/2-styleswap/bamboo/iconbg.jpg,/cases/2-styleswap/bamboo/back.png,,,,,127.9 x 80.9 x 7.1 mm,18g,PC + Bamboo,,,18.89
14,Black Apricot,,/cases/2-styleswap/black-apricot/iconbg.jpg,/cases/2-styleswap/black-apricot/back.jpg,,,,,127.9 x 80.9 x 7.1 mm,18g,PC + Wood,,,18.89
15,Karbon,,/cases/2-styleswap/karbon/iconbg.jpg,/cases/2-styleswap/karbon/back.jpg,,,,,127.9 x 80.9 x 7.1 mm,18g,PC + Kevlar,,,18.89
16,Rosewood,,/cases/2-styleswap/rosewood/iconbg.jpg,/cases/2-styleswap/rosewood/back.jpg,,,,,127.9 x 80.9 x 7.1 mm,18g,PC + Wood,,,18.89
17,Black,#333333,,/cases/2-flipcover/black/black-front.png,,,,,153.4 x 80 x 14.5mm,55g,PU + PC,,,13.99
18,White,#FFFFFF,,/cases/2-flipcover/white/white-front.png,,,,,153.4 x 80 x 14.5mm,55g,PU + PC,,,13.99
19,Gray,#B0B0B0,,/cases/2-flipcover/gray/gray-front.png,,,,,153.4 x 80 x 14.5mm,55g,PU + PC,,,13.99
20,Blue,#9BC9E3,,/cases/2-flipcover/blue/blue-front.png,,,,,153.4 x 80 x 14.5mm,55g,PU + PC,,,13.99
21,Yellow,#FBD326,,/cases/2-flipcovery/yellow/yellow-front.png,,,,,153.4 x 80 x 14.5mm,55g,PU + PC,,,13.99
22,Red,#EB0028,,/cases/2-siliconecase/red/red-back.png,,,,,153.9 x 77.6 x 11.45 mm,23.9g,Silicone + PC,,,10.49
23,White,#FFFFFF,,/cases/2-siliconecase/white/white-back.png,,,,,153.9 x 77.6 x 11.45 mm,23.9g,Silicone + PC,,,10.49
24,Blue,#33AFD9,,/cases/2-siliconecase/blue/blue-back.png,,,,,153.9 x 77.6 x 11.45 mm,23.9g,Silicone + PC,,,10.49
25,Sandstone,#333333,,/cases/x-protective-case/sandstone/sandstone-back,,,,,141.8 x 70.8 x 8.3mm,13g,Sandstone PET,,,13.99
26,Bamboo,,/cases/x-protective-case/bamboo/iconbg.jpg,/cases/x-protective-case/bamboo/bamboo-back,,,,,141.8 x 70.8 x 8.3mm,13g,Nan Bamboo,,,17.49
27,Black Apricot,,/cases/x-protective-case/black-apricot/iconbg.jpg,/cases/x-protective-case/black-apricot/black-apricot-back,,,,,141.8 x 70.8 x 8.3mm,13g,Black Apricot,,,17.49
28,Karbon,,/cases/x-protective-case/karbon/iconbg.jpg,/cases/x-protective-case/karbon/karbon-back.jpg,,,,,141.8 x 70.8 x 8.3mm,13g,DuPont Kevlar fiber,,,17.49
29,Rosewood,,/cases/x-protective-case/rosewood/iconbg.jpg,/cases/x-protective-case/karbon/rosewood-back.jpg,,,,,141.8 x 70.8 x 8.3mm,13g,Rosewood,,,17.49
30,Black,#333333,,/cases/x-flipcover/black/black-front.jpg,,,,,142 x 72 x 10.5mm,48g,PET,,,10.49
31,White,#FFFFFF,,/cases/x-flipcover/white/white-front.jpg,,,,,142 x 72 x 10.5mm,48g,PET,,,10.49
32,Orange,#E6621D,,/cases/x-flipcover/orange/orange-front.jpg,,,,,142 x 72 x 10.5mm,48g,PET,,,10.49
33,Gray,#B0B0B0,,/cases/x-flipcover/gray/gray-front.jpg,,,,,142 x 72 x 10.5mm,48g,PET,,,10.49
34,Red,#EB0028,,/cases/x-silicone/red/red-back.png,,,,,143.2 x 72.4 x 9.6mm,17g,Silicone+PC,,,10.49
35,Black,#333333,,/cases/x-silicone/black/black-back.png,,,,,143.2 x 72.4 x 9.6mm,17g,Silicone+PC,,,10.49
36,White,#FFFFFF,,/cases/x-silicone/white/white-back.png,,,,,143.2 x 72.4 x 9.6mm,17g,Silicone+PC,,,10.49
37,Blue,#33AFD9,,/cases/x-silicone/blue/blue-back.png,,,,,143.2 x 72.4 x 9.6mm,17g,Silicone+PC,,,10.49
38,Clear,#E8E8EA,,/cases/x-translucent/clear/clear-back.jpg,,,,,141.6 x 70.8 x 8.4mm,15g,PC,,,6.29
39,Gray,#B0B0B0,,/cases/x-translucent/gray/gray-back.jpg,,,,,141.6 x 70.8 x 8.4mm,15g,PC,,,6.29
